"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3705749753,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/107571972","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.22769,9.19161,5,NA,NA,NA,NA,NA,"2022-01-02T17:22:00",2,1,2022,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","107571972","","dbenvenuti","2022-02-27T18:15:05","CC_BY_NC_4_0","dbenvenuti","dbenvenuti",NA,NA,"2023-06-14 10:07:37","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.19161 39.22769)"
3694223013,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1301595122","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Molentargius-Saline -- Sentiero del Bellarosa Maggiore","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21683,9.15124,NA,NA,NA,NA,NA,NA,"2021-12-19T00:00:00",19,12,2021,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1301595122","","","","CC_BY_4_0","","obsr1680066",NA,NA,"2023-06-07 15:17:07","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.15124 39.21683)"
3687926974,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1301595056","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Molentargius-Saline -- Perda Bianca","Sardegna","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21211,9.14786,NA,NA,NA,NA,NA,NA,"2021-12-18T00:00:00",18,12,2021,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1301595056","","","","CC_BY_4_0","","obsr1680066",NA,NA,"2023-06-07 15:32:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14786 39.21211)"
3673181043,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1192917847","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Pista Ciclabile Terramaini - Molentargius, Cagliari, Sardegna, IT (39,217, 9,146)","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21676,9.14606,NA,NA,NA,NA,NA,NA,"2021-06-29T00:00:00",29,6,2021,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1192917847","","","","CC_BY_4_0","","obsr2096915",NA,NA,"2023-06-07 15:42:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14606 39.21676)"
3662519991,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1273887192","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Capanno di osservazione Molentargius","Sardegna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21416,9.14905,NA,NA,NA,NA,NA,NA,"2017-04-18T00:00:00",18,4,2017,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1273887192","","","","CC_BY_4_0","","obsr793683",NA,NA,"2023-06-07 15:16:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14905 39.21416)"
3620872565,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1302023908","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Molentargius-Saline -- Perda Bianca","Sardegna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21211,9.14786,NA,NA,NA,NA,NA,NA,"2021-12-24T00:00:00",24,12,2021,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1302023908","","","","CC_BY_4_0","","obsr1683716",NA,NA,"2023-06-07 15:16:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14786 39.21211)"
3532521174,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1210946023","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Via Lungo Saline, Cagliari IT-Sardinien 39.21556, 9.16951","Sardegna","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21556,9.16951,NA,NA,NA,NA,NA,NA,"2021-08-02T00:00:00",2,8,2021,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1210946023","","","","CC_BY_4_0","","obsr1487489",NA,NA,"2023-06-07 15:31:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.16951 39.21556)"
3531804300,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1207944170","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Parco Naturale Molentargius Saline, Cagliari","Sardegna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21008,9.1458,NA,NA,NA,NA,NA,NA,"2018-06-21T00:00:00",21,6,2018,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1207944170","","","","CC_BY_4_0","","obsr1082730",NA,NA,"2023-06-07 15:29:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.1458 39.21008)"
3513818597,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1134619544","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Saline di Quartu & Stagno di Molentargius","Sardegna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.22547,9.17753,NA,NA,NA,NA,NA,NA,"2014-04-29T00:00:00",29,4,2014,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1134619544","","","","CC_BY_4_0","","obsr2128622",NA,NA,"2023-06-07 15:14:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.17753 39.22547)"
3415493148,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/100316736","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.22174,9.18662,1700,NA,NA,NA,NA,NA,"2021-11-05T15:23:40",5,11,2021,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","100316736","","lyga","2021-11-05T14:24:09","CC_BY_NC_4_0","lyga","lyga",NA,NA,"2023-06-14 09:49:59","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.18662 39.22174)"
3384880353,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/97168345","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.2206,9.17262,1457,NA,NA,NA,NA,NA,"2021-09-18T20:29:00",18,9,2021,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","97168345","","pelagicgraf","2021-10-04T19:08:24","CC_BY_NC_4_0","Werner de Gier","Werner de Gier",NA,NA,"2023-06-14 10:05:53","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.17262 39.2206)"
3384839872,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/96671306","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.21657,9.16164,244,NA,NA,NA,NA,NA,"2021-09-23T14:27:00",23,9,2021,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","96671306","","Ben Costamagna","2021-09-30T10:52:00","CC_BY_NC_4_0","Ben Costamagna","Ben Costamagna",NA,NA,"2023-06-14 09:49:31","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.16164 39.21657)"
3384209322,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/97168322","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.2206,9.17262,1457,NA,NA,NA,NA,NA,"2021-09-18T20:29:00",18,9,2021,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","97168322","","Werner de Gier","2021-10-04T18:44:39","CC_BY_NC_4_0","Werner de Gier","Werner de Gier",NA,NA,"2023-06-14 10:06:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.17262 39.2206)"
3261829613,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1006018074","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","Capanno di osservazione Molentargius","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21416,9.14905,NA,NA,NA,NA,NA,NA,"2014-07-21T00:00:00",21,7,2014,5229126,5229126,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1006018074","","","","CC_BY_4_0","","obsr1931850",NA,NA,"2023-06-07 15:13:11","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14905 39.21416)"
