"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4129861730,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235450","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99365,12.53077,NA,NA,NA,NA,NA,NA,"2023-05-18T14:57:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235450","","Ricardo Rodero Henández","2023-05-28T16:43:19","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:15:09","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53077 37.99365)"
4129803704,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235462","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99431,12.52956,NA,NA,NA,NA,NA,NA,"2023-05-18T15:02:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235462","","Ricardo Rodero Henández","2023-05-28T16:43:21","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:12:50","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52956 37.99431)"
4129742756,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235463","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99443,12.52886,NA,NA,NA,NA,NA,NA,"2023-05-18T15:07:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235463","","Ricardo Rodero Henández","2023-05-28T16:43:21","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:14:09","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52886 37.99443)"
4129707805,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235454","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99407,12.53022,NA,NA,NA,NA,NA,NA,"2023-05-18T15:00:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235454","","Ricardo Rodero Henández","2023-05-28T16:43:20","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:14:54","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53022 37.99407)"
4129687727,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235441","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99339,12.53268,294,NA,NA,NA,NA,NA,"2023-05-18T14:55:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235441","","Ricardo Rodero Henández","2023-05-28T16:43:18","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:14:44","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53268 37.99339)"
4127438719,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235595","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99443,12.52878,NA,NA,NA,NA,NA,NA,"2023-05-18T15:07:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235595","","Ricardo Rodero Henández","2023-05-28T16:43:48","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:13:18","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52878 37.99443)"
4127144778,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235596","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99435,12.52422,61,NA,NA,NA,NA,NA,"2023-05-18T16:08:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235596","","Ricardo Rodero Henández","2023-05-28T16:43:48","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:13:50","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52422 37.99435)"
4127060337,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235592","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99365,12.53077,NA,NA,NA,NA,NA,NA,"2023-05-18T14:57:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235592","","Ricardo Rodero Henández","2023-05-28T16:43:47","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:15:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53077 37.99365)"
4126983723,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235597","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99425,12.52959,NA,NA,NA,NA,NA,NA,"2023-05-18T15:02:00",18,5,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","164235597","","Ricardo Rodero Henández","2023-05-28T16:43:48","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:15:03","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52959 37.99425)"
4091672610,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/155338257","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99648,12.53444,134,NA,NA,NA,NA,NA,"2023-04-17T15:31:00",17,4,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","155338257","","Nico","2023-04-17T15:56:21","CC0_1_0","Nico","Nico",NA,NA,"2023-06-14 09:55:13","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53444 37.99648)"
4091619583,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/155338259","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99648,12.53444,134,NA,NA,NA,NA,NA,"2023-04-17T15:38:00",17,4,2023,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","155338259","","Nico","2023-04-17T15:56:21","CC0_1_0","Nico","Nico",NA,NA,"2023-06-14 09:54:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53444 37.99648)"
4075646075,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151902987","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99696,12.52843,1017,NA,NA,NA,NA,NA,"2018-02-04T11:44:00",4,2,2018,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","151902987","","Enot Poluskuns","2023-03-22T05:55:34","CC_BY_NC_4_0","Enot Poluskuns","Enot Poluskuns",NA,NA,"2023-06-14 09:54:26","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.52843 37.99696)"
3859684834,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/123065339","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.99546,12.53506,NA,NA,NA,NA,NA,NA,"2022-06-06T13:38:00",6,6,2022,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","123065339","","Leonid Rasran","2022-06-23T10:06:57","CC_BY_NC_4_0","Leonid Rasran","Leonid Rasran",NA,NA,"2023-06-14 10:09:21","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53506 37.99546)"
3859203406,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/120191537","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",NA,"SPECIES","Himantopus himantopus (Linnaeus, 1758)","Himantopus himantopus","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.00232,12.53283,1018,NA,NA,NA,NA,NA,"2022-06-04T11:11:11",4,6,2022,5229126,5229126,"HUMAN_OBSERVATION","iNaturalist","Observations","120191537","","Giorgio De Simone","2022-06-04T17:43:34","CC_BY_NC_4_0","Giorgio De Simone","Giorgio De Simone",NA,NA,"2023-06-14 09:51:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53283 38.00232)"
