specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Glycaspis brimblecombei,-0.59025699,-0.92072397,-0.57686466,-1.135166,-1.2779827,-1.139811,-0.58265203,3,low
Helicoverpa armigera,-0.57939768,-0.79260445,-0.56597471,-0.97063553,-0.85393476,-1.139811,-0.58265203,3,low
Hippodamia variegata,-0.56182265,-0.65698552,-0.55508476,-0.88837028,-0.39221445,-0.93960601,-0.58265203,3,low
Lampides boeticus,-0.5693574,-0.77343363,-0.55871475,-0.80610502,-0.7833066,-1.139811,-0.58265203,3,low
Lasiocampa quercus,-0.56453317,-0.73542756,-0.55871475,-0.80610502,-0.65566278,-0.97964704,-0.58265203,3,low
Lestes virens,-0.57378411,-0.71889704,-0.56960469,-0.97063553,-0.60014504,-1.139811,-0.58265203,3,low
Lindenia tetraphylla,-0.58750248,-0.81221986,-0.55871475,-1.135166,-1.1322179,-0.33899081,-0.58265203,3,low
Linepithema humile,-0.58856428,-0.85404646,-0.57686466,-1.135166,-1.0540457,-1.139811,-0.58265203,3,low
Locusta migratoria,-0.57655901,-0.80210513,-0.55871475,-0.88837028,-0.9558444,-0.93960601,-0.58265203,3,low
Meles meles,-0.58290875,-0.86463577,-0.56234473,-0.88837028,-1.0896099,-0.93960601,-0.58265203,3,low
Mesosa curculionoides,-0.58707464,-0.79536718,-0.57686466,-1.135166,-0.85697067,-1.139811,-0.58265203,3,low
Mugilidae indet.,-0.58012527,-0.83722508,-0.56597471,-0.88837028,-0.9975509,-1.139811,-0.58265203,3,low
Neoscona subfusca,-0.58785379,-0.88424158,-0.57323468,-1.0529008,-1.1554562,-1.139811,-0.58265203,3,low
Nymphalis polychloros,-0.56875181,-0.65282118,-0.56234473,-0.97063553,-0.37822855,-0.87287098,-0.58265203,3,low
Orthetrum brunneum,-0.55905467,-0.62972707,-0.55145478,-0.88837028,-0.76919603,-0.73940092,-0.58265203,3,low
Pachygrapsus marmoratus,-0.57511109,-0.7878468,-0.55508476,-0.88837028,-0.83171338,-0.5391959,-0.58265203,3,low
Palpita vitrealis,-0.58856428,-0.85404646,-0.57686466,-1.135166,-1.0540457,-1.139811,-0.58265203,3,low
Phaneroptera nana,-0.56502402,-0.73929447,-0.55145478,-0.80610502,-0.66864985,-0.81948298,-0.58265203,3,low
Philaeus chrysops,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,3,low
Podiceps grisegena,-0.57877678,-0.78445196,-0.56597471,-0.97063553,-0.82031178,-0.87287098,-0.58265203,3,low
Porzana porzana,-0.54831147,-0.70328569,-0.54419482,-0.6415745,-0.81502819,-0.91100526,-0.58265203,3,low
Pyrgus malvoides,-0.55969131,-0.69728225,-0.55145478,-0.80610502,-0.52755135,-0.97964704,-0.58265203,3,low
Rhizostoma pulmo,-0.58095223,-0.81301624,-0.55508476,-0.97063553,-0.91624516,-0.87287098,-0.58265203,3,low
Ruspolia nitidula,-0.57470435,-0.78384089,-0.56234473,-0.88837028,-0.81825954,-0.93960601,-0.58265203,3,low
Saturnia pavoniella,-0.58158797,-0.76083344,-0.55871475,-1.0529008,-0.95542306,-0.33899081,-0.58265203,3,low
Sceliphron caementarium,-0.54138106,-0.61792964,-0.54056484,-0.72383976,-0.26104495,-1.006341,-0.58265203,3,low
Silurus glanis,-0.5847528,-0.70390743,-0.57686466,-1.135166,-0.54980218,-1.139811,-0.58265203,3,low
Tadorna ferruginea,-0.56498027,-0.8152529,-0.54056484,-0.55930924,-0.9848007,-1.139811,-0.58265203,3,low
Tropidopola cylindrica,-0.58270353,-0.62318462,-0.56234473,-1.135166,-0.92199659,-0.33899081,-0.58265203,3,low
Xylocopa violacea,-0.55977857,-0.63685626,-0.56234473,-0.88837028,-0.3246102,-0.93960601,-0.58265203,3,low
Zoropsis spinimana,-0.58045882,-0.73859471,-0.57323468,-1.0529008,-0.66629982,-1.139811,-0.58265203,3,low
Corvus cornix,3.8987548,2.9875329,3.2346168,2.4845054,1.8346939,1.7609379,2.872853,4,high
Egretta garzetta,4.2056432,3.2561691,5.1948071,2.4845054,1.9472656,2.5261662,3.7742891,4,high
Ardea cinerea,5.6369061,4.7625871,5.2165871,2.3199749,3.7463915,2.6966767,4.186574,4,high
Anas platyrhynchos,5.155622,3.9783854,4.60675,2.5667708,3.0808971,2.3768344,3.9245286,4,high
Pica pica,2.9847667,2.6689918,2.8353186,1.9909139,0.71066606,1.8786653,2.9999788,4,high
Ardea alba,2.8153334,2.5883939,3.1220872,1.9086486,2.2834959,2.5692513,3.0942585,4,high
Phalacrocorax carbo,5.0795865,4.3757219,4.7955089,2.2377098,3.474014,2.5020144,4.1391563,4,high
Larus michahellis,3.6483355,3.4518869,4.040473,1.9086486,1.7736945,2.5903256,3.7466135,4,high
Chroicocephalus ridibundus,2.9052105,2.9921882,3.4378958,1.6618528,2.0975471,2.5210817,3.2162573,4,high
Fulica atra,4.0015311,3.5799887,3.4596756,2.0731792,2.485719,2.5840032,3.2484515,4,high
Podiceps cristatus,2.5486655,2.3999214,2.5485501,1.8263834,2.3862059,2.3664832,2.4018323,4,high
Phoenicopterus roseus,2.7613151,3.3170357,5.0060482,1.3327918,3.6960297,3.3034499,5.4511542,4,high
Circus aeruginosus,2.6013722,1.9818304,2.363421,2.3199749,1.8986784,1.8399854,1.7757565,5,high
Falco tinnunculus,1.6690427,1.1770428,1.742694,2.2377098,0.56979442,1.6249256,1.4026537,5,high
Cettia cetti,2.0847149,1.8310319,1.742694,1.9086486,0.31592011,1.5576888,1.6116333,5,high
Buteo buteo,1.482818,1.3913487,1.2272365,1.6618528,1.1732609,1.2168887,1.1558319,5,high
Sturnus vulgaris,1.793389,1.4054692,1.6156446,2.0731792,0.50038338,1.2226088,1.6709383,5,high
Passer italiae,1.6543736,1.6587462,1.539415,1.5795876,0.53359139,1.8985953,1.7372203,5,high
Gallinula chloropus,2.4833999,2.1625991,1.9822729,1.9909139,1.5780828,1.8581315,1.6131539,5,high
Streptopelia decaocto,1.3194206,0.9387176,1.521265,2.0731792,0.081120402,1.2826703,1.501919,5,high
Hirundo rustica,1.9097788,1.3482836,1.9205631,2.3199749,0.6807394,1.3557684,1.5137111,5,high
Turdus merula,2.7882664,2.6550055,1.9205631,1.8263834,1.737787,1.6305943,1.8536618,5,high
Fringilla coelebs,1.3737874,1.2686397,1.1001872,1.6618528,1.1442904,1.2855303,0.76950216,5,high
Erithacus rubecula,2.1305172,1.8061793,1.6628344,1.9909139,1.0669527,1.3242513,1.6131539,5,high
Bubulcus ibis,1.3346306,0.90744919,1.0747772,2.1554444,0.60643917,0.81340915,0.84645402,5,high
Columba palumbus,2.2820909,1.88673,2.2980812,2.0731792,0.9958443,1.3827728,2.0089769,5,high
Cisticola juncidis,0.89101321,0.63515157,1.3470259,1.8263834,0.26709709,1.0462118,1.2445834,5,high
Alcedo atthis,1.4818898,1.15105,1.4486654,1.9909139,0.78547984,1.3447852,1.2664477,5,high
Carduelis carduelis,1.2443216,1.1229316,1.0675173,1.6618528,0.65671122,1.3312916,0.76950216,5,high
Columba livia,1.1918682,0.95544785,1.118337,1.8263834,-0.012730349,0.98128051,1.000952,5,high
Motacilla alba,0.96937948,0.67487121,0.87875819,1.9086486,0.19009168,0.77794278,0.60344815,5,high
Sylvia atricapilla,1.1658059,1.5288135,0.88964814,1.085996,0.91717672,1.5486571,1.1075407,5,high
Phylloscopus collybita,1.123036,0.83415216,0.918688,1.9086486,0.35037082,0.98868495,0.8406682,5,high
Cyanistes caeruleus,1.2190217,1.4339381,0.76985872,1.2505265,1.0107986,1.2359557,0.61926281,5,high
Aegithalos caudatus,1.423099,1.7930818,0.81341851,1.1682613,1.2925316,1.5664092,1.0492582,5,high
Tachybaptus ruficollis,2.4259701,2.1847785,1.7789938,1.9086486,2.0077982,1.8738021,1.7895483,5,high
Parus major,1.6289557,1.5558202,1.328876,1.6618528,0.67992002,1.3084109,1.5421617,5,high
Himantopus himantopus,1.2653612,1.1466109,2.2654114,1.6618528,1.3798544,1.7889031,2.250433,5,high
Tringa nebularia,0.65096307,0.63546312,1.4087356,1.3327918,0.38250622,1.495146,1.7436347,5,high
Actitis hypoleucos,0.60629338,0.44448537,1.1764168,1.5795876,0.15817823,1.3333104,1.2732459,5,high
Anas crecca,1.6865255,1.549417,1.4777052,1.7441181,1.1354308,1.6853049,1.483139,5,high
Cygnus olor,1.7640003,3.0905366,1.521265,0.67466968,3.3437932,2.7250173,2.8467245,5,high
Aythya ferina,0.88998359,1.217937,0.76622874,1.0037308,1.0331217,1.7668699,0.83627522,5,high
Mareca strepera,1.1407127,1.4095141,0.82793844,1.1682613,0.73117977,1.7597107,0.58299816,5,high
Recurvirostra avosetta,0.37357116,0.46453071,1.3506559,1.0037308,0.24451163,1.3812898,2.171736,5,high
Spatula clypeata,1.6216949,1.8689483,1.336136,1.3327918,1.0432221,1.9859713,1.307456,5,high
Tadorna tadorna,0.78613102,0.80721778,1.8370736,1.3327918,0.97220266,2.089303,2.1071169,5,high
Platalea leucorodia,1.135677,1.4864275,1.6337945,1.085996,0.74517947,1.4914556,2.5562773,5,high
Ardea purpurea,0.71090329,0.71162772,0.44316033,1.3327918,1.246372,1.2368169,-0.14647324,6,high
Merops apiaster,0.36250669,0.19551334,0.31248099,1.4973223,0.30959204,0.70450228,-0.03632709,6,high
Rallus aquaticus,0.98215419,1.1941427,0.57020974,1.1682613,0.1773193,1.1521918,0.42757812,6,high
Delichon urbicum,0.48995486,0.30970055,0.21447146,1.5795876,-0.010456269,0.57959718,-0.31752375,6,high
Acrocephalus scirpaceus,0.27407116,0.15655586,0.12735188,1.3327918,0.22803564,0.22933327,-0.073776782,6,high
Apus apus,0.13070501,-0.054266274,0.26166123,1.4150571,-0.13260128,0.68706018,-0.089679129,6,high
Ardeola ralloides,0.34504962,0.32875824,0.25803125,1.1682613,0.45173085,0.73797441,0.11673808,6,high
Saxicola rubicola,0.4109858,0.37296176,0.35967073,1.2505265,0.24211463,0.91562766,0.09342508,6,high
Luscinia megarhynchos,0.20721532,0.18024969,0.22173142,1.085996,0.31945169,0.80503815,-0.019254437,6,high
Phasianus colchicus,0.43565008,0.81553805,0.63554937,0.67466968,0.43860298,1.3322864,1.3769917,6,high
Phoenicurus ochruros,0.27215305,0.11985155,0.21447146,1.4150571,-0.23899038,0.46182948,0.05117026,6,high
Serinus serinus,0.3441014,0.42153656,0.27618116,1.0037308,0.19281065,0.87706965,-0.081854165,6,high
Picus viridis,0.71487844,1.1148638,0.5375399,0.8392002,0.43030348,0.91028887,1.1300766,6,high
Passer montanus,0.34569392,0.37506407,0.25077128,1.085996,-0.075251579,0.49043021,0.1417163,6,high
Emberiza schoeniclus,0.40833965,0.63186967,0.23625134,0.8392002,0.4198297,1.0063872,0.2286405,6,high
Streptopelia turtur,0.091645837,-0.015442219,0.16728169,1.1682613,-0.027074369,0.43421498,0.039028071,6,high
Motacilla flava,0.15473445,0.28122583,0.091052055,0.75693494,-0.060940597,0.495197,0.35634395,6,high
Chloris chloris,0.32334834,0.18287128,0.16728169,1.4150571,-0.40874979,0.48685512,-0.30095321,6,high
Corvus monedula,0.27061379,0.18864888,0.16728169,1.2505265,-0.16410093,0.30166543,0.16854475,6,high
Podarcis siculus,0.57695675,1.0575469,0.28344113,0.67466968,1.1938877,0.044010207,0.20120548,6,high
Galerida cristata,0.34531263,1.5158864,0.14550179,0.016547609,0.53343558,0.8355456,1.5206989,6,high
Pandion haliaetus,0.004748655,-0.004043471,0.22899137,0.8392002,0.0985661,0.55792791,0.2286405,6,high
Garrulus glandarius,0.98519433,1.0601627,0.71540898,1.3327918,0.49736875,0.95265484,0.72588426,6,high
Anthus pratensis,0.16477969,0.083896108,0.094682038,1.1682613,-0.32632932,0.46182948,-0.27181196,6,high
Troglodytes troglodytes,0.50234765,0.65240574,0.19269156,1.0037308,0.35114905,0.58046955,0.001612141,6,high
Tringa glareola,-0.078236438,-0.22132935,0.18180162,1.085996,-0.20629092,0.37602732,-0.099739805,6,high
Dendrocopos major,0.53046578,1.0652127,0.22899137,0.59240443,0.5108611,0.9714424,0.44170722,6,high
Gallinago gallinago,0.52255225,0.47229469,0.1854316,1.3327918,-0.10690397,0.56516111,-0.21916971,6,high
Calidris pugnax,-0.058746886,-0.13633309,0.3306309,0.92146546,-0.18060052,0.52343106,0.37079003,6,high
Charadrius dubius,0.036873005,0.18143618,-0.017847413,0.59240443,-0.36312294,0.4982304,0.13439944,6,high
Sterna hirundo,-0.026020687,0.024857804,0.60287952,0.67466968,0.17445569,1.2626498,0.78909862,6,high
Curruca melanocephala,0.72457659,0.90808356,0.9803977,1.085996,0.14920098,0.80503815,1.3489968,6,high
Numenius arquata,0.37497154,0.64269853,0.92957795,0.75693494,0.20338774,1.3293848,2.1404362,6,high
Ichthyaetus melanocephalus,-0.048756476,-0.014080632,0.080162108,0.67466968,-0.41598004,0.60110259,0.20120548,6,high
Vanellus vanellus,0.57890415,0.54389966,0.60287952,1.3327918,-0.071978197,0.79765737,0.65318781,6,high
Emberiza calandra,0.071374238,0.24321055,0.069272161,0.59240443,0.42745176,1.0078433,0.23683538,6,high
Netta rufina,0.345128,0.99796444,0.09831202,0.34560865,1.7633712,0.25108731,0.72205818,6,high
Tringa totanus,0.46146789,0.5379371,0.99128765,1.085996,0.29856163,1.3770527,1.7514236,6,high
Charadrius hiaticula,-0.014532025,0.13852993,0.16728169,0.51013917,-0.19251689,0.84317249,0.27585858,6,high
Nycticorax nycticorax,0.43595368,0.45223397,0.29070109,1.1682613,1.0075072,0.79320341,0.19444808,6,high
Podiceps nigricollis,0.16181926,0.15560085,0.57020974,1.0037308,0.0874568,0.7287696,0.83627522,6,high
Tringa erythropus,0.24211951,0.36996698,0.86786824,0.8392002,-0.072289854,1.390781,1.6709383,6,high
Anser anser,0.76920927,1.386808,0.47220019,0.67466968,0.59639823,0.87964875,0.88708079,6,high
Calidris minuta,0.10799105,0.67677218,0.16728169,0.18107814,0.47849709,1.4981852,0.74298936,6,high
Milvus migrans,0.22594553,0.75087446,0.069272161,0.34560865,1.5557791,0.082493559,0.3662281,6,high
Pluvialis squatarola,0.22226137,0.58269727,0.41775045,0.51013917,0.15853421,1.7202613,0.59780002,6,high
Thalasseus sandvicensis,0.31049958,0.3725141,0.25440127,1.0037308,-0.38859686,0.52114952,0.25201106,6,high
Mareca penelope,0.73641926,0.92474401,0.56294978,1.085996,0.31221366,0.77643746,0.78559923,6,high
Anas acuta,0.43740392,0.55765784,0.17454165,1.0037308,0.12843205,0.75842959,0.085078448,6,high
Calidris alpina,0.30907476,0.42093,0.57746971,0.92146546,-0.14695191,1.0162436,0.89084935,6,high
Sternula albifrons,-0.22506724,-0.041995496,0.10557199,0.098812871,0.14592393,1.0624447,0.68499255,6,high
